id,YEAR,MONTH,DISTRICT,STATE,AADHAR_NO,ENROLLED_BY
1,2014,3,KOPPAL,KARNATAKA,AD0000002,NBI
2,2014,4,KOPPAL,KARNATAKA,AD0000002,NBI
3,2014,5,KOPPAL,KARNATAKA,AD0000002,NBI
4,2014,6,KOPPAL,KARNATAKA,AD0000002,NBI
5,2014,7,KOPPAL,KARNATAKA,AD0000002,NBI
6,2014,8,KOPPAL,KARNATAKA,AD0000002,NBI
7,2014,9,KOPPAL,KARNATAKA,AD0000002,NBI
8,2014,10,KOPPAL,KARNATAKA,AD0000002,NBI
9,2014,11,KOPPAL,KARNATAKA,AD0000002,NBI
10,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
11,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
12,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
13,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
14,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
15,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
16,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
17,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
18,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
19,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
20,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
21,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
22,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
23,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
24,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
25,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
26,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
27,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
28,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
29,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
30,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
31,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
32,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
33,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
34,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
35,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
36,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
37,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
38,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
39,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
40,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
41,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
42,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
43,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
44,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
45,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
46,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
47,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
48,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
49,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
50,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
51,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
52,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
53,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
54,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
55,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
56,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
57,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
58,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
59,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
60,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
61,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
62,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
63,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
64,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
65,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
66,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
67,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
68,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
69,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
70,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
71,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
72,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
73,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
74,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
75,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
76,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
77,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
78,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
79,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
80,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
81,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
82,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
83,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
84,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
85,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
86,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
